run_id,topology_tier,topology_name,topology_idx,voxel_seed,voxel_nx,voxel_ny,voxel_nz,regolith_volume_fraction_target,hdpe_volume_fraction_target,thickness_cm,w_regolith,w_hdpe,incident_energy_mev,density_g_cm3,areal_density_g_cm2,H_mass_fraction,C_mass_fraction,O_mass_fraction,Si_mass_fraction,Al_mass_fraction,Ca_mass_fraction,Fe_mass_fraction,Mg_mass_fraction,Na_mass_fraction,K_mass_fraction,Mn_mass_fraction,P_mass_fraction,Ti_mass_fraction,mean_excitation_ev
0,3,tier3_voxel_grid,3,20260907,64,64,64,0.075888876027008181,0.92411112397299178,6.639443076880144,0.19206185672811571,0.80793814327188429,231.35708523194239,1.0865999768486145,7.2144186936256585,0.11611914855893055,0.69181899471295372,0.08814966150965238,0.044661075494979975,0.027065037528682247,0.018795157134611253,0.0048382885936122345,0.0033547604047405102,0.0036797014393678772,0.00054901423443772998,9.0385606759090043e-05,0.00014431458714834805,0.0007344601941240411,63.89608962619603
1,3,tier3_voxel_grid,3,20260908,64,64,64,0.07638379404180895,0.92361620595819105,10.653491231728779,0.19315605057098575,0.80684394942901427,300.64137933754131,1.0874908292752561,11.585574014269399,0.11596188793390552,0.69088206149510878,0.088651858137957812,0.044915513698666303,0.027219229505816223,0.018902234851982169,0.0048658527631946051,0.0033738727794811523,0.0037006650326973744,0.00055214201839860343,9.0900541770573716e-05,0.00014513676045950993,0.00073864448056141173,63.952512879073581
2,3,tier3_voxel_grid,3,20260909,64,64,64,0.088298180790402553,0.91170181920959747,13.854229362781425,0.21896650332420409,0.78103349667579591,5594.2745026263392,1.1089367254227247,15.363463742818196,0.11225233687163361,0.66878115980416231,0.10049795143501387,0.050917343518539909,0.030856395595421526,0.021428043586086652,0.0055160517213804711,0.0038247061016201604,0.0041951659282145988,0.00062592192556079943,0.00010304711513276362,0.00016453064166344693,0.0008373457555698766,65.302950697658019
3,3,tier3_voxel_grid,3,20260910,64,64,64,0.13826841060844394,0.86173158939155603,4.4024630645796412,0.31716029425535813,0.68283970574464181,173.03998549332994,1.1988831390951993,5.2780387386139109,0.098139648305496388,0.58470005743914544,0.14556546031151063,0.073750822193707641,0.044693701356749285,0.031037279702171929,0.0079896813463313961,0.0055398652041041491,0.0060764548003608724,0.00090661164642984822,0.00014925777624207252,0.0002383131023777625,0.00121284681537252,70.802024469980893
4,3,tier3_voxel_grid,3,20260911,64,64,64,0.21104889716122119,0.78895110283877878,7.7233239255459134,0.43641604458047362,0.56358395541952633,126.21563935973279,1.3298880148901981,10.271155923698227,0.080999875534737656,0.48258407988478869,0.20029967044215577,0.10148194048660285,0.061499023418326117,0.042707637391879674,0.010993889190356727,0.0076229153007959993,0.0083612684723719088,0.0012475075722654741,0.00020538033767239836,0.00032792144349464867,0.0016688905245520246,78.339832394949084
5,3,tier3_voxel_grid,3,20260912,64,64,64,0.30718592347040596,0.69281407652959404,14.101879105263343,0.56207452709939254,0.43792547290060746,55.191521345407644,1.5029346622467308,21.194202910113194,0.062939884035618773,0.37498558886498867,0.25797251026864776,0.13070191716477539,0.079206607855491148,0.055004565915189874,0.014159390206638986,0.0098178024525483742,0.010768751701320413,0.0016067058886620063,0.00026451606811041587,0.00042234077451297171,0.0021494188034951243,87.475661202275404
6,3,tier3_voxel_grid,3,20260913,64,64,64,0.11372273944460488,0.88627726055539513,11.576275442394735,0.27083855661374301,0.72916144338625699,2847.6317369599137,1.1547009310002887,13.367136030848979,0.10479713907939646,0.62436430430686052,0.12430540606019944,0.062979403770947059,0.038166119102669378,0.026504238355212258,0.0068227763778712178,0.0047307595650867588,0.0051889794443605239,0.00077419965290664991,0.00012745845369985812,0.00020350711561066079,0.0010357087151791817,68.134101830688053
7,3,tier3_voxel_grid,3,20260914,64,64,64,0.23852480843995064,0.76147519156004939,6.9513577576307881,0.47554700758861568,0.52445299241138432,17.709804122947538,1.3793446551919113,9.5883181693148565,0.075375863171123603,0.44907712924026072,0.21825941113443401,0.11058125319173753,0.067013293666416479,0.046536990138416078,0.011979649170004164,0.0083064190820018348,0.0091109762142310598,0.0013593645336877434,0.00022379563311320655,0.00035732430811045562,0.0018185305164630965,81.043755903161525
8,3,tier3_voxel_grid,3,20260915,64,64,64,0.15732970183052006,0.84267029816947991,4.9687350873606446,0.3508425019363357,0.6491574980636643,15.172828814996782,1.233193463294936,6.1274116305773392,0.093298746424491846,0.55585875163917242,0.16102441325800346,0.08158310938338742,0.049440142063219235,0.034333417710984124,0.0088381800748490811,0.0061281951234194035,0.0067217701700869499,0.0010028931870707989,0.00016510885063078103,0.00026362179187255496,0.0013416503228118794,72.829748329900852
9,3,tier3_voxel_grid,3,20260916,64,64,64,0.11718946917226483,0.8828105308277352,12.255591164852651,0.27759466490370183,0.72240533509629823,16.620110316220735,1.1609410445100765,14.228018808012502,0.10382613214187904,0.61857920295441915,0.12740622300026208,0.064550434414565441,0.039118178650205809,0.027165390543842729,0.006992971554744834,0.0048487690697713763,0.0053184193124457286,0.00079351217900516054,0.00013063792388472932,0.00020858363103753788,0.0010615446239363826,68.514798012696943
