run_id,thickness_cm,w_regolith,incident_energy_mev,target_dose_sv_per_particle,target_secondary_neutrons,target_secondary_gammas,transmission_probability,target_secondary_protons,target_secondary_pions,target_secondary_light_ions,sem_dose,sem_neutrons,rel_sem_dose,rel_sem_neutrons,p_nuclear_interaction,mean_neutrons_given_interaction,log_mean_dose,log_std_dose,n_events
0,6.639443076880144,0.1920618567281157,231.3570852319424,9.799867164532196e-14,0.0664,0.1399,0.9343,0.0548,0.0,0.0002,2.0814530581890837e-16,0.004449840908213556,0.0021239604815484693,0.0670156763285174,0.0377,1.7612732095490715,-30.022176844001805,0.651409591380475,10000
1,10.65349123172878,0.1931560505709857,300.64137933754125,7.935275169216798e-14,0.1008,0.2229,0.8953,0.0843,0.0001,0.0003,2.3723385989125006e-16,0.005771244816040355,0.002989611006957239,0.05725441285754321,0.0543,1.856353591160221,-30.26596303260989,0.7590786568415318,10000
2,13.854229362781425,0.218966503324204,5594.274502626339,1.2431057920031999e-13,0.5283,1.325,0.8291,0.2387,0.2234,0.0087,1.5435198851564466e-15,0.015558409861285349,0.012416641408042554,0.02944995241583447,0.1745,3.0275071633237824,-30.31122556946074,1.0432273977145599,10000
3,4.402463064579641,0.3171602942553581,173.03998549332994,7.300008897544018e-14,0.0473,0.095,0.9542,0.0347,0.0,0.0,1.3661796276078446e-16,0.003705083503023439,0.0018714766608948598,0.0783315751167746,0.0262,1.8053435114503817,-30.30105486130992,0.5709769970784553,10000
4,7.723323925545913,0.4364160445804736,126.2156393597328,2.0915506270617e-14,0.0514,0.1462,0.8766,0.0144,0.0,0.0001,8.047267540352072e-17,0.0035237828685335385,0.0038475126713319,0.06855608693645017,0.0321,1.601246105919003,-31.672477854156234,1.1139014529692393,10000
5,14.101879105263343,0.5620745270993925,55.19152134540765,1.278949584136719e-17,0.0027,0.0208,0.0,0.0,0.0,0.0,2.242478354342821e-18,0.0008884536763351813,0.17533750995012648,0.32905691716117824,0.0014,1.9285714285714286,-36.03512889238873,2.2528810492735114,10000
6,11.576275442394737,0.270838556613743,2847.6317369599137,8.133083792249e-14,0.436,0.9003,0.8421,0.2001,0.0815,0.0017,9.037806839493705e-16,0.013733508689555361,0.011112398532161841,0.03149887314118202,0.1579,2.7612412919569347,-30.540549786146677,0.8251543761505244,10000
7,6.951357757630788,0.4755470075886156,17.70980412294754,1.732793867e-18,0.0,0.0027,0.0,0.0,0.0,0.0,6.855893335057261e-19,0.0,0.39565544786506684,,0.0,0.0,-35.82265448107545,2.2244730599152707,10000
8,4.968735087360645,0.3508425019363357,15.172828814996782,4.668431645400001e-19,0.0,0.0012,0.0,0.0,0.0,0.0,3.237398326366713e-19,0.0,0.6934659372289741,,0.0,0.0,-37.432920272058624,3.3095398353034766,10000
9,12.255591164852651,0.2775946649037018,16.620110316220735,9.811485000000001e-19,0.0,0.0005,0.0,0.0,0.0,0.0,6.367655743192534e-19,0.0,0.6490002016200945,,0.0,0.0,-34.17739084665435,1.3194149658151815,10000
